Species,Antifungal,Compound
S. cerevisiae,Fluconazole,"Methyl 3Beta,12-Dihydroxy-11-Ketoisoallospirostan-3-Hemisuccinate"
S. cerevisiae,Fluconazole,Methyl Benzethonium Chloride
S. cerevisiae,Fluconazole,Mg 624
S. cerevisiae,Fluconazole,Palmitoyl-Dl-Carnitine Chloride
S. cerevisiae,Fluconazole,Periciazine
S. cerevisiae,Fluconazole,Perillic Acid
S. cerevisiae,Fluconazole,Phytosphingosine
S. cerevisiae,Fluconazole,Retusin 7-Methyl Ether
S. cerevisiae,Fluconazole,Sodium Fluoroacetate
S. cerevisiae,Fluconazole,Solasodine
S. cerevisiae,Fluconazole,Suloctidil
S. cerevisiae,Fluconazole,Thapsigargin
S. cerevisiae,Fluconazole,Tomatidine
S. cerevisiae,Fluconazole,Xanthurenic Acid
S. cerevisiae,Terbinafine,Aminohydroxybutyric Acid
S. cerevisiae,Terbinafine,Apiin
S. cerevisiae,Terbinafine,Artemisinin
S. cerevisiae,Terbinafine,Bendroflumethiazide
S. cerevisiae,Terbinafine,Benzethonium Chloride
S. cerevisiae,Terbinafine,Bleomycin
S. cerevisiae,Terbinafine,Carbetapentane Citrate
S. cerevisiae,Terbinafine,Catharanthine Base
S. cerevisiae,Terbinafine,Cefamandole Sodium Salt
S. cerevisiae,Terbinafine,Chelidonine (+)
S. cerevisiae,Terbinafine,Chlorhexidine
S. cerevisiae,Terbinafine,Chlorogenic Acid
S. cerevisiae,Terbinafine,Clemizole Hydrochloride
S. cerevisiae,Terbinafine,Cyclosporin A
S. cerevisiae,Terbinafine,Cytisine (-)
S. cerevisiae,Terbinafine,Cytochalasin D
S. cerevisiae,Terbinafine,Dehydroepiandrosterone
S. cerevisiae,Terbinafine,Deoxyandirobin Lactone
S. cerevisiae,Terbinafine,Diphenylpyraline Hydrochloride
S. cerevisiae,Terbinafine,Echinomycin
S. cerevisiae,Terbinafine,Ketoconazole
S. cerevisiae,Terbinafine,L-Phenylalaninol
S. cerevisiae,Terbinafine,Methoxyamine Hydrochloride
S. cerevisiae,Terbinafine,"Methyl 3Beta,12-Dihydroxy-11-Ketoisoallospirostan-3-Hemisuccinate"
S. cerevisiae,Terbinafine,Methyl Benzethonium Chloride
S. cerevisiae,Terbinafine,Mg 624
S. cerevisiae,Terbinafine,Molsidomine
S. cerevisiae,Terbinafine,"Muramic Acid, N-Acetyl"
S. cerevisiae,Terbinafine,N-Acetyldopamine Monohydrate
S. cerevisiae,Terbinafine,Narasin
S. cerevisiae,Terbinafine,Nigericin
S. cerevisiae,Terbinafine,Palmitoyl-Dl-Carnitine Chloride
S. cerevisiae,Terbinafine,Radicicol
S. cerevisiae,Terbinafine,Roxarsone
S. cerevisiae,Terbinafine,Skf 96365
S. cerevisiae,Terbinafine,Sulfadimethoxine
S. cerevisiae,Terbinafine,Suloctidil
S. cerevisiae,Terbinafine,Swainsonine
S. cerevisiae,Terbinafine,Terconazole
S. cerevisiae,Terbinafine,Thapsigargin
S. cerevisiae,Terbinafine,Tomatidine
S. cerevisiae,Terbinafine,Tridesacetoxykhivorin
S. cerevisiae,Terbinafine,Xanthurenic Acid
S. cerevisiae,Terbinafine,Z-L-Phe Chloromethyl Ketone
S. pombe,Amphotericin B,3-Deoxy-3Beta-Hydroxyangolensic Acid Methyl Ester
S. pombe,Amphotericin B,3-Hydroxyflavone
S. pombe,Amphotericin B,3-Prenyl-4-Hydroxyacetophenone
S. pombe,Amphotericin B,4-Acetoxyphenol
S. pombe,Amphotericin B,5Alpha-Cholestan-3Beta-Ol-6-One
S. pombe,Amphotericin B,A-77636 Hydrochloride
S. pombe,Amphotericin B,Alpha-Methyl-L-Tyrosine
S. pombe,Amphotericin B,Apiole
S. pombe,Amphotericin B,Asiatic Acid
S. pombe,Amphotericin B,Aurovertin B
S. pombe,Amphotericin B,Beta-Carotene
S. pombe,Amphotericin B,Bromocriptine Mesylate
S. pombe,Amphotericin B,Catechin Tetramethylether
S. pombe,Amphotericin B,Chaulmosulfone
S. pombe,Amphotericin B,Chromomycin A3
S. pombe,Amphotericin B,Chukrasin Methyl Ether
S. pombe,Amphotericin B,Dantron
S. pombe,Amphotericin B,Deacetylnomilin
S. pombe,Amphotericin B,Deoxysappanone B Trimethyl Ether
S. pombe,Amphotericin B,Derrustone
S. pombe,Amphotericin B,Dictamnine
S. pombe,Amphotericin B,"Dihydrogeduninic Acid, Methyl Ester"
S. pombe,Amphotericin B,Epigallocatechin Octamethyl Ether
S. pombe,Amphotericin B,"Epoxy (2,3Alpha)-7-Deacetoxy-7-Oxodihydroisogedunin"
S. pombe,Amphotericin B,Ergocristine
S. pombe,Amphotericin B,Ergocryptine-Alpha
S. pombe,Amphotericin B,Ergosterol Acetate
S. pombe,Amphotericin B,Erythromycin Estolate
S. pombe,Amphotericin B,Estrone Acetate
S. pombe,Amphotericin B,Euphol
S. pombe,Amphotericin B,Euphol Acetate
S. pombe,Amphotericin B,Fenoldopam Bromide
S. pombe,Amphotericin B,Gossypol
S. pombe,Amphotericin B,Hecogenin Acetate
S. pombe,Amphotericin B,Inosine
S. pombe,Amphotericin B,Lisuride (S)(-)
S. pombe,Amphotericin B,Metacetamol
S. pombe,Amphotericin B,Methoxycarbonylsalicylic Acid
S. pombe,Amphotericin B,Mithramycin A
S. pombe,Amphotericin B,Mj33
S. pombe,Amphotericin B,N-Oleoyldopamine
S. pombe,Amphotericin B,Nicotine Ditartrate
S. pombe,Amphotericin B,Phenylbutyric Acid
S. pombe,Amphotericin B,Rac-2-Ethoxy-3-Octadecanamido-1-Propylphosphocholine
S. pombe,Amphotericin B,Rapamycin
S. pombe,Amphotericin B,Retinoic Acid P-Hydroxyanilide
S. pombe,Amphotericin B,Rifabutin
S. pombe,Amphotericin B,Rifampicin
S. pombe,Amphotericin B,Sarafloxacin Hydrochloride
S. pombe,Amphotericin B,Shikonin
S. pombe,Amphotericin B,Silymarin
S. pombe,Amphotericin B,Teniposide
S. pombe,Amphotericin B,Tetrahydrocortisone
S. pombe,Amphotericin B,Tetrahydrogambogic Acid
S. pombe,Amphotericin B,Tridesacetoxykhivorin
S. pombe,Amphotericin B,U-83836 Dihydrochloride
S. pombe,Amphotericin B,Valeryl Salycilate
S. pombe,Amphotericin B,Valinomycin
S. pombe,Amphotericin B,Warfarin
S. pombe,Benomyl,2-(Alpha-Naphthoyl)Ethyltrimethylammonium Iodide
S. pombe,Benomyl,"2-Ethoxycarbonyl-5,7-Dihydroxy-8,3"",4"",5""-Tetramethoxyisoflavone"
S. pombe,Benomyl,2-Isopropyl-3-Methoxycinnamic Acid
S. pombe,Benomyl,2-Propyl-3-Hydroxyethylenepyran-4-One
S. pombe,Benomyl,"2,3-Dihydroxy-4-Methoxy-4""-Ethoxybenzophenone"
S. pombe,Benomyl,"2,4-Dichlorophenoxyacetic Acid, Isooctyl Ester"
S. pombe,Benomyl,"2,6-Di-T-Butyl-4-Methylphenol"
S. pombe,Benomyl,"3-Chloro-8Beta-Hydroxycarapin, 3,8-Hemiacetal"
S. pombe,Benomyl,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid"
S. pombe,Benomyl,5Alpha-Cholestan-3Beta-Ol-6-One
S. pombe,Benomyl,"8-Hydroxy-15,16-Bisnor-11-Labden-13-One"
S. pombe,Benomyl,Alanyl-Dl-Leucine
S. pombe,Benomyl,Alizarin
S. pombe,Benomyl,Andirobin
S. pombe,Benomyl,Arthonioic Acid
S. pombe,Benomyl,Atranorin
S. pombe,Benomyl,Avocadyne
S. pombe,Benomyl,Baeomycesic Acid
S. pombe,Benomyl,Benfluralin
S. pombe,Benomyl,Benzyl Benzoate
S. pombe,Benomyl,Beta-Caryophyllene Alcohol
S. pombe,Benomyl,Brucine
S. pombe,Benomyl,Catechin Pentaacetate
S. pombe,Benomyl,Cearoin
S. pombe,Benomyl,Cellobiose (D[+])
S. pombe,Benomyl,Chlorpropham
S. pombe,Benomyl,Dacthal
S. pombe,Benomyl,Dantron
S. pombe,Benomyl,"Deoxysappanone B 7,3""-Dimethyl Ether Acetate"
S. pombe,Benomyl,Dichlorophene
S. pombe,Benomyl,Dihydrolanosterol
S. pombe,Benomyl,Dihydrolonchocarpenin
S. pombe,Benomyl,Enilconazole
S. pombe,Benomyl,Epicoprosterol
S. pombe,Benomyl,Ergosterol
S. pombe,Benomyl,Ergosterol Acetate
S. pombe,Benomyl,Erythromycin Estolate
S. pombe,Benomyl,Gemifloxacin Mesylate
S. pombe,Benomyl,Gentisic Acid
S. pombe,Benomyl,"Ginkgetin, K Salt"
S. pombe,Benomyl,Hecogenin Acetate
S. pombe,Benomyl,Hederacoside C
S. pombe,Benomyl,Hydroxytoluic Acid
S. pombe,Benomyl,Ichthynone
S. pombe,Benomyl,Inosine
S. pombe,Benomyl,Iodipamide
S. pombe,Benomyl,Isoconazole
S. pombe,Benomyl,Isorotenone
S. pombe,Benomyl,Isosafrole
S. pombe,Benomyl,Juglone
S. pombe,Benomyl,Lanosterol
S. pombe,Benomyl,"Mandelic Acid, Methyl Ester"
S. pombe,Benomyl,Medicarpin
S. pombe,Benomyl,Metacetamol
S. pombe,Benomyl,Methoxycarbonylsalicylic Acid
S. pombe,Benomyl,Nonic Acid
S. pombe,Benomyl,Oxfendazole
S. pombe,Benomyl,Pentachlorophenol
S. pombe,Benomyl,Pentamidine Isethionate
S. pombe,Benomyl,Picropodophyllotoxin
S. pombe,Benomyl,Propachlor
S. pombe,Benomyl,Propazine
S. pombe,Benomyl,Rhodocladonic Acid
S. pombe,Benomyl,Safrolglycol
S. pombe,Benomyl,Sanguinarine Sulfate
S. pombe,Benomyl,Sib 1757
S. pombe,Benomyl,Sodium Fluoroacetate
S. pombe,Benomyl,Tetrahydrocortisone
S. pombe,Benomyl,"Tetrahydrocortisone-3,21-Diacetate"
S. pombe,Benomyl,Trandolapril
S. pombe,Benomyl,Triptonide
S. pombe,Benomyl,Umbelliferone
S. pombe,Benomyl,Warfarin
S. pombe,Benomyl,Z-L-Phe Chloromethyl Ketone
S. pombe,Caspofungin,"18-Aminoabieta-8,11,13-Triene Sulfate"
S. pombe,Caspofungin,2-(Alpha-Naphthoyl)Ethyltrimethylammonium Iodide
S. pombe,Caspofungin,"2-Ethoxycarbonyl-5,7-Dihydroxy-8,3"",4"",5""-Tetramethoxyisoflavone"
S. pombe,Caspofungin,2-Isopropyl-3-Methoxycinnamic Acid
S. pombe,Caspofungin,"2,3-Dihydroxy-4-Methoxy-4""-Ethoxybenzophenone"
S. pombe,Caspofungin,"2,6-Di-T-Butyl-4-Methylphenol"
S. pombe,Caspofungin,"3-Chloro-8Beta-Hydroxycarapin, 3,8-Hemiacetal"
S. pombe,Caspofungin,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid"
S. pombe,Caspofungin,5Alpha-Cholestan-3Beta-Ol-6-One
S. pombe,Caspofungin,"8-Hydroxy-15,16-Bisnor-11-Labden-13-One"
S. pombe,Caspofungin,Alanyl-Dl-Leucine
S. pombe,Caspofungin,Alizarin
S. pombe,Caspofungin,Arthonioic Acid
S. pombe,Caspofungin,Aurovertin B
S. pombe,Caspofungin,Baeomycesic Acid
S. pombe,Caspofungin,Benfluralin
S. pombe,Caspofungin,Benzyl Benzoate
S. pombe,Caspofungin,Brucine
S. pombe,Caspofungin,Cearoin
S. pombe,Caspofungin,Chlorpropham
S. pombe,Caspofungin,Chlorpyrifos
S. pombe,Caspofungin,Chrysophanol
S. pombe,Caspofungin,Cuneatin Methyl Ether
S. pombe,Caspofungin,Dantron
S. pombe,Caspofungin,Deacetylgedunin
S. pombe,Caspofungin,Diallyl Sulfide
S. pombe,Caspofungin,Dichlorophene
S. pombe,Caspofungin,Dimethyl Gambogate
S. pombe,Caspofungin,Enilconazole
S. pombe,Caspofungin,Epicoprosterol
S. pombe,Caspofungin,Ergosterol Acetate
S. pombe,Caspofungin,Erythromycin Estolate
S. pombe,Caspofungin,Eupatoriochromene
S. pombe,Caspofungin,Gemifloxacin Mesylate
S. pombe,Caspofungin,Gentisic Acid
S. pombe,Caspofungin,Guaiazulene
S. pombe,Caspofungin,Halofantrine Hydrochloride
S. pombe,Caspofungin,Hecogenin Acetate
S. pombe,Caspofungin,Ichthynone
S. pombe,Caspofungin,Inosine
S. pombe,Caspofungin,Irigenin Trimethyl Ether
S. pombe,Caspofungin,Isosafrole
S. pombe,Caspofungin,L-Alaninol
S. pombe,Caspofungin,Larixol Acetate
S. pombe,Caspofungin,"Mandelic Acid, Methyl Ester"
S. pombe,Caspofungin,Methoxycarbonylsalicylic Acid
S. pombe,Caspofungin,"Methoxyflavone, 5-"
S. pombe,Caspofungin,Mundulone
S. pombe,Caspofungin,Oxfendazole
S. pombe,Caspofungin,Oxyphencyclimine Hydrochloride
S. pombe,Caspofungin,Pentachlorophenol
S. pombe,Caspofungin,Pentamidine Isethionate
S. pombe,Caspofungin,Phenylbutyric Acid
S. pombe,Caspofungin,"Phorbol 12-Myristate 13-Acetate, 4-Alpha -"
S. pombe,Caspofungin,Propazine
S. pombe,Caspofungin,Rapamycin
S. pombe,Caspofungin,Safrolglycol
S. pombe,Caspofungin,Sodium Fluoroacetate
S. pombe,Caspofungin,"Stigmasta-4,22-Dien-3-One"
S. pombe,Caspofungin,Tetrahydrocortisone
S. pombe,Caspofungin,Tridesacetoxykhivorin
S. pombe,Caspofungin,Tschimganine
S. pombe,Caspofungin,Umbelliferone
S. pombe,Caspofungin,Valinomycin
S. pombe,Cyprodinil,"1,3-Dideacetylkhivorin"
S. pombe,Cyprodinil,"18-Aminoabieta-8,11,13-Triene Sulfate"
S. pombe,Cyprodinil,2-(Alpha-Naphthoyl)Ethyltrimethylammonium Iodide
S. pombe,Cyprodinil,"2-Ethoxycarbonyl-5,7-Dihydroxy-8,3"",4"",5""-Tetramethoxyisoflavone"
S. pombe,Cyprodinil,2-Isopropyl-3-Methoxycinnamic Acid
S. pombe,Cyprodinil,"2,3-Dihydroxy-4-Methoxy-4""-Ethoxybenzophenone"
S. pombe,Cyprodinil,"2,4-Dichlorophenoxyacetic Acid"
S. pombe,Cyprodinil,"2,4-Dichlorophenoxyacetic Acid, Isooctyl Ester"
S. pombe,Cyprodinil,"2,6-Di-T-Butyl-4-Methylphenol"
S. pombe,Cyprodinil,"3-Chloro-8Beta-Hydroxycarapin, 3,8-Hemiacetal"
S. pombe,Cyprodinil,3Beta-Acetoxydeoxodihydrogedunin
S. pombe,Cyprodinil,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid"
S. pombe,Cyprodinil,5Alpha-Cholestan-3Beta-Ol-6-One
S. pombe,Cyprodinil,7-Deshydroxypyrogallin-4-Carboxylic Acid
S. pombe,Cyprodinil,"8-Hydroxy-15,16-Bisnor-11-Labden-13-One"
S. pombe,Cyprodinil,Alanyl-Dl-Leucine
S. pombe,Cyprodinil,Alizarin
S. pombe,Cyprodinil,Arthonioic Acid
S. pombe,Cyprodinil,Atrazine
S. pombe,Cyprodinil,Baeomycesic Acid
S. pombe,Cyprodinil,Benfluralin
S. pombe,Cyprodinil,Benzyl Benzoate
S. pombe,Cyprodinil,Beta-Caryophyllene Alcohol
S. pombe,Cyprodinil,Brucine
S. pombe,Cyprodinil,Catechin Pentaacetate
S. pombe,Cyprodinil,Cearoin
S. pombe,Cyprodinil,Cellobiose (D[+])
S. pombe,Cyprodinil,Chlorpropham
S. pombe,Cyprodinil,Cuneatin Methyl Ether
S. pombe,Cyprodinil,Dacthal
S. pombe,Cyprodinil,Dantron
S. pombe,Cyprodinil,Dehydroabietamide
S. pombe,Cyprodinil,"Deoxysappanone B 7,3""-Dimethyl Ether Acetate"
S. pombe,Cyprodinil,Dichlorophene
S. pombe,Cyprodinil,Epicatechin Monogallate
S. pombe,Cyprodinil,Epicatechin Pentaacetate
S. pombe,Cyprodinil,Epicoprosterol
S. pombe,Cyprodinil,Ergosterol
S. pombe,Cyprodinil,Ergosterol Acetate
S. pombe,Cyprodinil,Erythromycin Estolate
S. pombe,Cyprodinil,Erythromycin Stearate
S. pombe,Cyprodinil,Estrone Acetate
S. pombe,Cyprodinil,Flavanone
S. pombe,Cyprodinil,Gentisic Acid
S. pombe,Cyprodinil,"Ginkgetin, K Salt"
S. pombe,Cyprodinil,Guaiazulene
S. pombe,Cyprodinil,Homidium Bromide
S. pombe,Cyprodinil,Ichthynone
S. pombe,Cyprodinil,Inosine
S. pombe,Cyprodinil,Isorotenone
S. pombe,Cyprodinil,Isosafrole
S. pombe,Cyprodinil,Juglone
S. pombe,Cyprodinil,Lanosterol
S. pombe,Cyprodinil,"Mandelic Acid, Methyl Ester"
S. pombe,Cyprodinil,Metacetamol
S. pombe,Cyprodinil,Methoxycarbonylsalicylic Acid
S. pombe,Cyprodinil,Nonic Acid
S. pombe,Cyprodinil,Oxfendazole
S. pombe,Cyprodinil,Pentachlorophenol
S. pombe,Cyprodinil,Propachlor
S. pombe,Cyprodinil,Propazine
S. pombe,Cyprodinil,Rhodocladonic Acid
S. pombe,Cyprodinil,Safrolglycol
S. pombe,Cyprodinil,Sanguinarine Sulfate
S. pombe,Cyprodinil,Sodium Fluoroacetate
S. pombe,Cyprodinil,"Stigmasta-4,22-Dien-3-One"
S. pombe,Cyprodinil,Tetrahydrocortisone
S. pombe,Cyprodinil,"Tetrahydrocortisone-3,21-Diacetate"
S. pombe,Cyprodinil,"Totarol-19-Carboxylic Acid, Methyl Ester"
S. pombe,Cyprodinil,Triptonide
S. pombe,Cyprodinil,Umbelliferone
S. pombe,Cyprodinil,Warfarin
S. pombe,Fluconazole,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid"
S. pombe,Fluconazole,Adenosine Amine Congener
S. pombe,Fluconazole,Alizarin
S. pombe,Fluconazole,Artemisinin
S. pombe,Fluconazole,Aurovertin B
S. pombe,Fluconazole,Benfluralin
S. pombe,Fluconazole,Beta-Caryophyllene Alcohol
S. pombe,Fluconazole,Biochanin A
S. pombe,Fluconazole,Butamben
S. pombe,Fluconazole,Butylparaben
S. pombe,Fluconazole,Catechin Tetramethylether
S. pombe,Fluconazole,Chlorogenic Acid
S. pombe,Fluconazole,Clemastine
S. pombe,Fluconazole,Clomiphene Citrate
S. pombe,Fluconazole,Crassin Acetate
S. pombe,Fluconazole,"Dihydroxy-4""-Methoxy-Chalcone, 2"",6""-"
S. pombe,Fluconazole,Dioxybenzone
S. pombe,Fluconazole,Enilconazole
S. pombe,Fluconazole,Ergosterol Acetate
S. pombe,Fluconazole,Erythromycin
S. pombe,Fluconazole,Euparin
S. pombe,Fluconazole,Galangine
S. pombe,Fluconazole,Gbr 12909 Dihydrochloride
S. pombe,Fluconazole,Gbr-12935 Dihydrochloride
S. pombe,Fluconazole,Halofantrine Hydrochloride
S. pombe,Fluconazole,Hexylresorcinol
S. pombe,Fluconazole,Isoconazole
S. pombe,Fluconazole,Isosafrole
S. pombe,Fluconazole,Ketoconazole
S. pombe,Fluconazole,L-Alaninol
S. pombe,Fluconazole,"Methylorsellinic Acid, Ethyl Ester"
S. pombe,Fluconazole,Mj33
S. pombe,Fluconazole,Monobenzone
S. pombe,Fluconazole,Naftifine Hydrochloride
S. pombe,Fluconazole,"Orsellinic Acid, Ethyl Ester"
S. pombe,Fluconazole,Pentachlorophenol
S. pombe,Fluconazole,Pentamidine Isethionate
S. pombe,Fluconazole,Phenazopyridine Hydrochloride
S. pombe,Fluconazole,Picropodophyllotoxin
S. pombe,Fluconazole,Retusin 7-Methyl Ether
S. pombe,Fluconazole,Rottlerin
S. pombe,Fluconazole,Safrolglycol
S. pombe,Fluconazole,Solasodine
S. pombe,Fluconazole,Suloctidil
S. pombe,Fluconazole,Tetrahydrocortisone
S. pombe,Fluconazole,Tolnaftate
S. pombe,Fluconazole,Tomatidine
S. pombe,Terbinafine,2-(Alpha-Naphthoyl)Ethyltrimethylammonium Iodide
S. pombe,Terbinafine,"2-Ethoxycarbonyl-5,7-Dihydroxy-8,3"",4"",5""-Tetramethoxyisoflavone"
S. pombe,Terbinafine,2-Propyl-3-Hydroxyethylenepyran-4-One
S. pombe,Terbinafine,"2,3-Dihydroxy-4-Methoxy-4""-Ethoxybenzophenone"
S. pombe,Terbinafine,"2,6-Di-T-Butyl-4-Methylphenol"
S. pombe,Terbinafine,Alizarin
S. pombe,Terbinafine,Andirobin
S. pombe,Terbinafine,Atranorin
S. pombe,Terbinafine,Baeomycesic Acid
S. pombe,Terbinafine,Benfluralin
S. pombe,Terbinafine,Benzyl Benzoate
S. pombe,Terbinafine,Brucine
S. pombe,Terbinafine,Cearoin
S. pombe,Terbinafine,Chelidonine (+)
S. pombe,Terbinafine,Chlorogenic Acid
S. pombe,Terbinafine,Chlorpropham
S. pombe,Terbinafine,Dacthal
S. pombe,Terbinafine,Dichlorophene
S. pombe,Terbinafine,Dihydrolanosterol
S. pombe,Terbinafine,Dihydrolonchocarpenin
S. pombe,Terbinafine,Enilconazole
S. pombe,Terbinafine,Ergosterol Acetate
S. pombe,Terbinafine,Hederacoside C
S. pombe,Terbinafine,Ichthynone
S. pombe,Terbinafine,Inosine
S. pombe,Terbinafine,Isoconazole
S. pombe,Terbinafine,Juglone
S. pombe,Terbinafine,Ketoconazole
S. pombe,Terbinafine,Medicarpin
S. pombe,Terbinafine,Methoxycarbonylsalicylic Acid
S. pombe,Terbinafine,"Muramic Acid, N-Acetyl"
S. pombe,Terbinafine,Nonic Acid
S. pombe,Terbinafine,Pentachlorophenol
S. pombe,Terbinafine,Picropodophyllotoxin
S. pombe,Terbinafine,Propazine
S. pombe,Terbinafine,Safrolglycol
S. pombe,Terbinafine,Solasodine
S. pombe,Terbinafine,Suloctidil
S. pombe,Terbinafine,Tetrahydrocortisone
S. pombe,Terbinafine,Tomatidine
S. pombe,Terbinafine,Umbelliferone
